strRegion,strUbigeo,idExpediente,strCodExpediente,idOrganizacionPolitica,strOrganizacionPolitica,idSolicitudLista,strEstadoLista,strJuradoElectoral,intCandHombres,intCandMujeres,idJuradoUbicacion,strDistritoElec
LIMA,140101,91103,EG.2021004692,5,RENACIMIENTO UNIDO NACIONAL,23039,INSCRITO,LIMA CENTRO 1,2,2,1536,PERUANOS RESIDENTES EN EL EXTRANJERO
LIMA,140101,90997,EG.2021004586,47,UNION POR EL PERU,22938,INSCRITO,LIMA CENTRO 1,2,2,1536,PERUANOS RESIDENTES EN EL EXTRANJERO
LIMA,140101,91161,EG.2021004750,32,PARTIDO APRISTA PERUANO,23185,INSCRITO,LIMA CENTRO 1,2,2,1536,PERUANOS RESIDENTES EN EL EXTRANJERO
LIMA,140101,90971,EG.2021004561,4,ACCION POPULAR,22969,INSCRITO,LIMA CENTRO 1,2,2,1536,PERUANOS RESIDENTES EN EL EXTRANJERO
LIMA,140101,90821,EG.2021004411,55,PERU PATRIA SEGURA,22719,INSCRITO,LIMA CENTRO 1,2,2,1536,PERUANOS RESIDENTES EN EL EXTRANJERO
LIMA,140101,90580,EG.2021004183,2646,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP,22561,INSCRITO,LIMA CENTRO 1,2,2,1536,PERUANOS RESIDENTES EN EL EXTRANJERO
LIMA,140101,90883,EG.2021004473,22,RENOVACION POPULAR,22713,PERIODO DE TACHA,LIMA CENTRO 1,2,2,1536,PERUANOS RESIDENTES EN EL EXTRANJERO
LIMA,140101,91142,EG.2021004731,2218,PARTIDO POLITICO NACIONAL PERU LIBRE,23164,PERIODO DE TACHA,LIMA CENTRO 1,2,2,1536,PERUANOS RESIDENTES EN EL EXTRANJERO
LIMA,140101,90698,EG.2021004296,2840,PARTIDO MORADO,22808,TACHA EN TRAMITE,LIMA CENTRO 1,2,2,1536,PERUANOS RESIDENTES EN EL EXTRANJERO
LIMA,140101,90696,EG.2021004294,14,PARTIDO DEMOCRATICO SOMOS PERU,22786,INSCRITO,LIMA CENTRO 1,2,2,1536,PERUANOS RESIDENTES EN EL EXTRANJERO
LIMA,140101,91129,EG.2021004718,2160,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",23201,APELACIÓN,LIMA CENTRO 1,2,2,1536,PERUANOS RESIDENTES EN EL EXTRANJERO
LIMA,140101,91099,EG.2021004688,21,VICTORIA NACIONAL,22837,INSCRITO,LIMA CENTRO 1,2,2,1536,PERUANOS RESIDENTES EN EL EXTRANJERO
LIMA,140101,90986,EG.2021004576,2191,DEMOCRACIA DIRECTA,23122,INSCRITO,LIMA CENTRO 1,2,2,1536,PERUANOS RESIDENTES EN EL EXTRANJERO
LIMA,140101,91137,EG.2021004726,2173,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,23207,PERIODO DE TACHA,LIMA CENTRO 1,2,2,1536,PERUANOS RESIDENTES EN EL EXTRANJERO
LIMA,140101,90849,EG.2021004439,1264,JUNTOS POR EL PERU,22994,INSCRITO,LIMA CENTRO 1,2,2,1536,PERUANOS RESIDENTES EN EL EXTRANJERO
LIMA,140101,90581,EG.2021004184,1366,FUERZA POPULAR,22613,INSCRITO,LIMA CENTRO 1,2,2,1536,PERUANOS RESIDENTES EN EL EXTRANJERO
LIMA,140101,90984,EG.2021004574,15,PARTIDO POPULAR CRISTIANO - PPC,22821,INSCRITO,LIMA CENTRO 1,2,2,1536,PERUANOS RESIDENTES EN EL EXTRANJERO
LIMA,140101,90982,EG.2021004572,1257,ALIANZA PARA EL PROGRESO,22857,INSCRITO,LIMA CENTRO 1,2,2,1536,PERUANOS RESIDENTES EN EL EXTRANJERO
LIMA,140101,91053,EG.2021004642,179,PARTIDO NACIONALISTA PERUANO,22895,PERIODO DE TACHA,LIMA CENTRO 1,2,2,1536,PERUANOS RESIDENTES EN EL EXTRANJERO
AMAZONAS,010000,90945,EG.2021004535,1257,ALIANZA PARA EL PROGRESO,22777,INSCRITO,CHACHAPOYAS,2,2,1517,AMAZONAS
AMAZONAS,010000,90729,EG.2021004326,1264,JUNTOS POR EL PERU,22681,INSCRITO,CHACHAPOYAS,2,2,1517,AMAZONAS
AMAZONAS,010000,90585,EG.2021004187,2191,DEMOCRACIA DIRECTA,22726,INSCRITO,CHACHAPOYAS,2,2,1517,AMAZONAS
AMAZONAS,010000,90504,EG.2021004109,1366,FUERZA POPULAR,22584,INSCRITO,CHACHAPOYAS,2,2,1517,AMAZONAS
AMAZONAS,010000,90917,EG.2021004507,2160,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",23066,INSCRITO,CHACHAPOYAS,2,2,1517,AMAZONAS
AMAZONAS,010000,90927,EG.2021004517,2840,PARTIDO MORADO,23075,INSCRITO,CHACHAPOYAS,2,2,1517,AMAZONAS
AMAZONAS,010000,90953,EG.2021004543,179,PARTIDO NACIONALISTA PERUANO,22747,INSCRITO,CHACHAPOYAS,2,2,1517,AMAZONAS
AMAZONAS,010000,91097,EG.2021004686,15,PARTIDO POPULAR CRISTIANO - PPC,22863,INSCRITO,CHACHAPOYAS,2,2,1517,AMAZONAS
AMAZONAS,010000,91166,EG.2021004755,47,UNION POR EL PERU,23106,INSCRITO,CHACHAPOYAS,2,2,1517,AMAZONAS
AMAZONAS,010000,91001,EG.2021004590,21,VICTORIA NACIONAL,22815,INSCRITO,CHACHAPOYAS,2,2,1517,AMAZONAS
AMAZONAS,010000,90736,EG.2021004333,2731,PODEMOS PERU,22783,INSCRITO,CHACHAPOYAS,2,2,1517,AMAZONAS
AMAZONAS,010000,90857,EG.2021004447,2218,PARTIDO POLITICO NACIONAL PERU LIBRE,22731,INSCRITO,CHACHAPOYAS,2,2,1517,AMAZONAS
AMAZONAS,010000,90484,EG.2021004089,2646,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP,22547,INSCRITO,CHACHAPOYAS,3,2,1517,AMAZONAS
AMAZONAS,010000,91115,EG.2021004704,2857,PARTIDO FRENTE DE LA ESPERANZA 2021,23175,IMPROCEDENTE,CHACHAPOYAS,2,2,1517,AMAZONAS
AMAZONAS,010000,90908,EG.2021004498,14,PARTIDO DEMOCRATICO SOMOS PERU,23064,INSCRITO,CHACHAPOYAS,2,2,1517,AMAZONAS
AMAZONAS,010000,90851,EG.2021004441,22,RENOVACION POPULAR,22691,INSCRITO,CHACHAPOYAS,2,2,1517,AMAZONAS
AMAZONAS,010000,91054,EG.2021004643,4,ACCION POPULAR,23047,INSCRITO,CHACHAPOYAS,2,2,1517,AMAZONAS
AMAZONAS,010000,91086,EG.2021004675,5,RENACIMIENTO UNIDO NACIONAL,23008,INSCRITO,CHACHAPOYAS,2,2,1517,AMAZONAS
ANCASH,020000,90929,EG.2021004519,2218,PARTIDO POLITICO NACIONAL PERU LIBRE,22541,INSCRITO,HUARAZ,3,3,1528,ANCASH
ANCASH,020000,90819,EG.2021004409,4,ACCION POPULAR,22996,INSCRITO,HUARAZ,3,3,1528,ANCASH
ANCASH,020000,90627,EG.2021004225,14,PARTIDO DEMOCRATICO SOMOS PERU,22775,INSCRITO,HUARAZ,3,3,1528,ANCASH
ANCASH,020000,90739,EG.2021004336,47,UNION POR EL PERU,22524,INSCRITO,HUARAZ,3,3,1528,ANCASH
ANCASH,020000,91124,EG.2021004713,2840,PARTIDO MORADO,23132,INSCRITO,HUARAZ,3,3,1528,ANCASH
ANCASH,020000,91079,EG.2021004668,5,RENACIMIENTO UNIDO NACIONAL,23009,INSCRITO,HUARAZ,3,3,1528,ANCASH
ANCASH,020000,90524,EG.2021004129,2646,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP,22588,INSCRITO,HUARAZ,3,3,1528,ANCASH
ANCASH,020000,90503,EG.2021004108,1366,FUERZA POPULAR,22593,INSCRITO,HUARAZ,3,3,1528,ANCASH
ANCASH,020000,91089,EG.2021004678,2160,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",23154,INSCRITO,HUARAZ,3,3,1528,ANCASH
ANCASH,020000,91035,EG.2021004624,2731,PODEMOS PERU,22629,INSCRITO,HUARAZ,3,3,1528,ANCASH
ANCASH,020000,91155,EG.2021004744,22,RENOVACION POPULAR,22692,INSCRITO,HUARAZ,3,3,1528,ANCASH
ANCASH,020000,90630,EG.2021004228,2191,DEMOCRACIA DIRECTA,22790,INSCRITO,HUARAZ,3,3,1528,ANCASH
ANCASH,020000,90711,EG.2021004308,55,PERU PATRIA SEGURA,22913,INSCRITO,HUARAZ,3,3,1528,ANCASH
ANCASH,020000,90970,EG.2021004560,1257,ALIANZA PARA EL PROGRESO,22847,INSCRITO,HUARAZ,3,3,1528,ANCASH
ANCASH,020000,91000,EG.2021004589,179,PARTIDO NACIONALISTA PERUANO,22878,INSCRITO,HUARAZ,3,3,1528,ANCASH
ANCASH,020000,90954,EG.2021004544,21,VICTORIA NACIONAL,22817,INSCRITO,HUARAZ,3,3,1528,ANCASH
ANCASH,020000,90861,EG.2021004451,1264,JUNTOS POR EL PERU,22639,INSCRITO,HUARAZ,3,3,1528,ANCASH
