idExpediente,strCodExpediente,idOrganizacionPolitica,strOrganizacionPolitica,idSolicitudLista,strEstadoLista,intCandHombres,intCandMujeres,strRutaArchivo,idPlanGobierno
90701,EG.2021004299,2840,PARTIDO MORADO,22865,INSCRITO,2,1,Plan de gobierno y Anexo 5 final integrado.pdf,16521
91071,EG.2021004660,2857,PARTIDO FRENTE DE LA ESPERANZA 2021,22796,APELACIÓN,2,1,Plan de Gobierno Frente Esperanza.pdf,16516
90811,EG.2021004402,14,PARTIDO DEMOCRATICO SOMOS PERU,22990,INSCRITO,2,1,PLAN DE GOB. SOMOS PERU.pdf,16494
90694,EG.2021004292,4,ACCION POPULAR,22765,INSCRITO,2,1,PLAN DE GOBIERNO ACCION POPULAR.pdf,16511
91060,EG.2021004649,5,RENACIMIENTO UNIDO NACIONAL,23007,INSCRITO,2,1,PLAN DE GOBIERNO RUNA.pdf,16525
90710,EG.2021004307,1264,JUNTOS POR EL PERU,22845,INSCRITO,1,2,PLAN DE GOBIERNO JP 2021[R].pdf,16479
90389,EG.2021003994,1366,FUERZA POPULAR,22579,INSCRITO,1,2,RESCATE2021.pdf,16490
90689,EG.2021004287,2191,DEMOCRACIA DIRECTA,22751,INSCRITO,2,1,Plan de Gobierno de Democracia Directa 2021-2026.pdf,16480
91149,EG.2021004738,179,PARTIDO NACIONALISTA PERUANO,22515,INSCRITO,2,1,Plan de Gobierno Partido Nacionalista Peruano 2021.pdf,16538
91029,EG.2021004618,2173,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,23117,TACHA EN TRAMITE,2,1,Anexo 5 Resumen PDG Avanza Pais 221220.pdf,16535
91077,EG.2021004666,2731,PODEMOS PERU,22538,TACHA EN TRAMITE,2,1,PLAN DE GOBIERNO PODEMOS PERU.pdf,16536
90885,EG.2021004475,1257,ALIANZA PARA EL PROGRESO,23040,APELACIÓN,2,1,PLAN INTEGRAL DE GOBIERNO APP.pdf,16531
90977,EG.2021004567,21,VICTORIA NACIONAL,23058,TACHA EN TRAMITE,2,1,PLAN DE GOBIERNO VICTORIA NACIONAL.pdf,16517
90882,EG.2021004472,2160,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",23044,INSCRITO,2,1,Plan de Gobierno FAJVL 2021_vf.pdf,16526
91158,EG.2021004747,2218,PARTIDO POLITICO NACIONAL PERU LIBRE,23155,INSCRITO,2,1,ideario-peru-libre.pdf,16542
91156,EG.2021004745,32,PARTIDO APRISTA PERUANO,23104,INSCRITO,1,2,Plan de Gobierno Final.pdf,16495
90867,EG.2021004457,55,PERU PATRIA SEGURA,22988,INSCRITO,2,1,PLAN DE GOBIERNO (2021 - 2026).pdf,16524
90724,EG.2021004321,22,RENOVACION POPULAR,22690,INSCRITO,2,1,PLAN DE GOBIERNO - RP.pdf,16482
91033,EG.2021004622,47,UNION POR EL PERU,22509,IMPROCEDENTE,2,1,PLAN DE GOBIERNO UPP- JNE.pdf,16530
91167,EG.2021004756,15,PARTIDO POPULAR CRISTIANO - PPC,22495,INSCRITO,2,1,Introducción.pdf,16497
